pageA,pageB,rawSimilarity,band,actionHint
/아파트집단등기,/취득세,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/오피스텔집단등기,/취득세,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/신축집단등기,/국민주택채권,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/신축집단등기,/취득세,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/국민주택채권,/신축보존등기,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/국민주택채권,/건물보존등기,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/국민주택채권,/상가보존등기,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/국민주택채권,/건축주준비서류,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/국민주택채권,/사용승인후등기,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/취득세,/신축보존등기,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/취득세,/건물보존등기,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/취득세,/집합건물보존등기,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/취득세,/오피스텔보존등기,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/취득세,/상가보존등기,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/취득세,/건축주준비서류,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
/취득세,/사용승인후등기,0.967,CRITICAL_DUPLICATE,CANNIBALIZATION_RISK_OR_REPOSITION
